neighborhood_municipality,total_partially_vaccinated,total_fully_vaccinated,total_fully_vaccinated_w_booster
Aspinwall,264,1136,1175
Avalon,345,1703,1445
Baldwin Borough,1421,7370,7325
Baldwin Township,126,678,746
Ben Avon,173,680,656
Ben Avon Heights,36,144,165
Bethel Park,2328,11223,13100
Brackenridge,202,1009,719
Braddock Hills,127,576,507
Bradford Woods,106,460,475
Carnegie,672,2976,2318
Castle Shannon,581,2964,2898
Chalfant,46,261,210
Cheswick,125,610,659
Clairton,303,1667,1306
Crafton,403,2214,1813
Crescent,144,753,723
Dravosburg,86,507,443
Duquesne,306,1463,779
East Mckeesport,125,645,529
Etna,218,1181,909
Fawn,138,649,592
Findlay,424,2167,1735
Forest Hills,600,2107,2540
Forward,88,483,392
Fox Chapel,733,1822,2613
Glen Osborne,55,198,245
Glenfield,23,65,57
Green Tree,401,1871,1928
Hampton,1606,6387,7129
Haysville,5,20,20
Homestead,254,945,586
Indiana,653,2578,2513
Ingram,192,1127,1047
Leet,71,336,419
Leetsdale,72,337,343
Liberty,129,715,685
Marshall,689,2446,2484
Millvale,251,1136,834
Mount Lebanon,3463,12008,14594
Mount Oliver Borough,247,1188,654
Munhall,745,3749,3227
North Braddock,285,1209,816
North Fayette,1001,4694,3457
Ohio,614,2616,2670
Penn Hills,2818,13253,11626
Pitcairn,179,857,580
Allegheny West (Pittsburgh),60,179,187
Arlington (Pittsburgh),134,588,342
Arlington Heights (Pittsburgh),18,64,19
Banksville (Pittsburgh),361,1614,1364
Bedford Dwellings (Pittsburgh),123,371,162
Bloomfield (Pittsburgh),1038,3251,3099
Bluff (Pittsburgh),223,644,247
Brookline (Pittsburgh),914,4592,4110
Central Business District (Pittsburgh),886,2154,1237
Central Northside (Pittsburgh),294,1021,1011
Central Oakland (Pittsburgh),621,1894,658
Chartiers City (Pittsburgh),31,140,130
Duquesne Heights (Pittsburgh),237,857,819
East Carnegie (Pittsburgh),32,173,126
East Hills (Pittsburgh),204,728,471
Elliott (Pittsburgh),144,784,490
Esplen (Pittsburgh),19,84,47
Garfield (Pittsburgh),345,1185,959
Highland Park (Pittsburgh),847,2194,2716
Homewood West (Pittsburgh),43,174,139
Lincoln-Lemington-Belmar (Pittsburgh),241,1253,793
Lower Lawrenceville (Pittsburgh),294,944,996
Middle Hill (Pittsburgh),174,570,372
Mount Washington (Pittsburgh),755,3101,2291
New Homestead (Pittsburgh),77,324,285
North Oakland (Pittsburgh),1195,2812,1684
Northview Heights (Pittsburgh),129,367,83
Overbrook (Pittsburgh),220,1116,1023
Perry North (Pittsburgh),283,1261,1075
Perry South (Pittsburgh),242,1158,894
Undefined (Pittsburgh),4,24,25
Polish Hill (Pittsburgh),89,377,416
Regent Square (Pittsburgh),97,301,492
Shadyside (Pittsburgh),2936,6237,4750
South Oakland (Pittsburgh),425,1367,672
South Shore (Pittsburgh),65,114,51
Southside Slopes (Pittsburgh),415,1498,1104
Spring Garden (Pittsburgh),42,217,201
Spring Hill-City View (Pittsburgh),154,733,608
Squirrel Hill North (Pittsburgh),1727,3745,3402
Stanton Heights (Pittsburgh),358,1424,1842
Terrace Village (Pittsburgh),235,717,335
Upper Hill (Pittsburgh),180,640,499
Westwood (Pittsburgh),235,1151,1047
Pleasant Hills,573,3001,3291
Port Vue,193,1124,857
Richland,908,4188,4125
Robinson,1329,5393,5256
Ross,2444,11774,12461
Rosslyn Farms,24,142,181
Sewickley,429,1305,1455
Sewickley Heights,157,353,397
Shaler,1874,9362,10729
South Fayette,1020,4527,4105
Stowe,353,1872,1287
Swissvale,666,2841,2507
Thornburg,39,144,201
Verona,158,888,648
Versailles,80,436,332
Wall,25,146,105
West Elizabeth,24,148,73
West Homestead,112,588,589
West View,427,2372,2146
White Oak,472,2404,2220
Whitehall,1054,5152,5573
Wilkins,533,2072,2115
Wilkinsburg,1324,4726,3913
Wilmerding,95,507,269
Undefined,165,679,577
Aleppo,144,455,719
Bell Acres,120,486,492
Bellevue,632,3031,2162
Blawnox,109,480,486
Braddock,121,598,335
Brentwood,646,3394,2888
Bridgeville,381,1767,1536
Churchill,287,1086,1387
Collier,859,2997,3127
Coraopolis,389,2048,1571
Dormont,610,3034,2806
East Deer,71,440,361
East Pittsburgh,116,496,271
Edgewood,372,1121,1376
Edgeworth,223,527,670
Elizabeth Borough,87,449,321
Elizabeth Township,667,4079,3756
Emsworth,360,1032,687
Franklin Park,1448,5600,6199
Frazer,57,331,336
Glassport,251,1281,966
Harmar,220,948,1122
Harrison,578,3083,2869
Heidelberg,103,442,388
Jefferson Hills,634,3949,3644
Kennedy,606,2812,3072
Kilbuck,47,267,300
Lincoln,54,280,260
McCandless,2443,10184,11415
Mcdonald,2,2,0
Mckees rocks,333,1632,1106
McKeesport,1107,5179,3169
Monroeville,2488,10282,9152
Moon,2283,9182,8102
Neville,80,362,302
North Versailles,595,3147,2567
O'Hara,931,3102,4076
Oakdale,96,520,438
Oakmont,610,2346,2725
Pennsbury Village,59,215,231
Pine,1437,5149,4584
Allegheny Center (Pittsburgh),160,552,377
Allentown (Pittsburgh),178,776,433
Beechview (Pittsburgh),653,2630,2141
Beltzhoover (Pittsburgh),129,517,365
Bon Air (Pittsburgh),42,242,249
Brighton Heights (Pittsburgh),518,2365,2130
California-Kirkbride (Pittsburgh),68,238,114
Carrick (Pittsburgh),635,3437,2422
Central Lawrenceville (Pittsburgh),554,1570,1887
Chateau (Pittsburgh),8,23,13
Crafton Heights (Pittsburgh),258,1315,949
Crawford-Roberts (Pittsburgh),236,961,625
East Allegheny (Pittsburgh),155,662,564
East Liberty (Pittsburgh),697,2239,1660
Fairywood (Pittsburgh),106,478,217
Fineview (Pittsburgh),92,302,260
Friendship (Pittsburgh),321,811,614
Glen Hazel (Pittsburgh),52,200,227
Greenfield (Pittsburgh),731,2649,2688
Hays (Pittsburgh),20,125,80
Hazelwood (Pittsburgh),336,1214,903
Homewood North (Pittsburgh),209,730,412
Homewood South (Pittsburgh),173,652,422
Knoxville (Pittsburgh),271,1063,552
Larimer (Pittsburgh),130,592,273
Lincoln Place (Pittsburgh),177,1035,951
Manchester (Pittsburgh),153,687,618
Marshall-Shadeland (Pittsburgh),253,1193,815
Morningside (Pittsburgh),251,1096,1303
Mt. Oliver (Pittsburgh),30,152,92
North Shore (Pittsburgh),57,156,86
Oakwood (Pittsburgh),78,337,290
Point Breeze (Pittsburgh),684,1823,2541
Point Breeze North (Pittsburgh),236,721,688
Ridgemont (Pittsburgh),31,154,162
Sheraden (Pittsburgh),344,1626,1048
Southside Flats (Pittsburgh),1050,3013,2061
Squirrel Hill South (Pittsburgh),2385,6068,5973
St. Clair (Pittsburgh),23,81,39
Strip District (Pittsburgh),332,802,627
Summer Hill (Pittsburgh),57,316,349
Swisshelm Park (Pittsburgh),107,442,566
Troy Hill (Pittsburgh),253,1013,819
Upper Lawrenceville (Pittsburgh),247,862,915
West End (Pittsburgh),21,92,52
West Oakland (Pittsburgh),197,584,309
Windgap (Pittsburgh),96,387,451
Plum,1731,9213,8744
Rankin,104,420,225
Reserve,183,1043,1189
Scott,1465,6699,6151
Sewickley Hills,54,207,266
Sharpsburg,257,1169,840
South Park,855,4623,4737
South Versailles,17,112,66
Springdale Borough,199,1089,949
Springdale Township,88,452,561
Tarentum,235,1338,900
Trafford,0,2,3
Turtle Creek,340,1575,1041
Upper Saint Clair,1954,7763,8499
West Deer,806,3727,4124
West Mifflin,1082,6179,5866
Whitaker,69,404,258
